;Food;Feed;Losses;Seed;Industrial ;stocks
Vegetables_I;11187;884;0;8;0;0
Fruits_I ;8100;0;4;0;6617;63
Meat_I;4696;0;0;0;11;0
Cereals_L ;8289;11646;85;593;791;-241
Starchy Roots_L;2047;172;90;143;0;-123
Oilcrops_L;159;279;18;17;4911;194
Vegetable Oils_L;1374;11;281;0;3;46
Vegetables_L;11187;884;0;8;0;0
Fruits_L ;8100;0;4;0;6617;63
Meat_L;4696;0;0;0;11;0
Cereals_M ;8289;11646;85;593;791;-241
Starchy Roots_M;2047;172;90;143;0;-123
Oilcrops_M;159;279;18;17;4911;194
Vegetable Oils_M;1374;11;281;0;3;46
Vegetables_M;11187;884;0;8;0;0
Fruits_M ;8100;0;4;0;6617;63
Meat_M;4696;0;0;0;11;0
Cereals_N ;8289;11646;85;593;791;-241
Starchy Roots_N;2047;172;90;143;0;-123
Oilcrops_N;159;279;18;17;4911;194
Vegetable Oils_N;1374;11;281;0;3;46
Vegetables_N;11187;884;0;8;0;0
Fruits_N ;8100;0;4;0;6617;63
Meat_N;4696;0;0;0;11;0
Cereals_O ;8289;11646;85;593;791;-241
Starchy Roots_O;2047;172;90;143;0;-123
Oilcrops_O;159;279;18;17;4911;194
Vegetable Oils_O;1374;11;281;0;3;46
Vegetables_O;11187;884;0;8;0;0
Fruits_O ;8100;0;4;0;6617;63
Meat_O;4696;0;0;0;11;0
Cereals_P ;8289;11646;85;593;791;-241
Starchy Roots_P;2047;172;90;143;0;-123
Oilcrops_P;159;279;18;17;4911;194
Vegetable Oils_P;1374;11;281;0;3;46
Vegetables_P;11187;884;0;8;0;0
Fruits_P ;8100;0;4;0;6617;63
Meat_P;4696;0;0;0;11;0
Cereals_Q ;8289;11646;85;593;791;-241
Starchy Roots_Q;2047;172;90;143;0;-123
Oilcrops_Q;159;279;18;17;4911;194
Vegetable Oils_Q;1374;11;281;0;3;46
Vegetables_Q;11187;884;0;8;0;0
Fruits_Q ;8100;0;4;0;6617;63
Meat_Q;4696;0;0;0;11;0
Cereals_R ;8289;11646;85;593;791;-241
Starchy Roots_R;2047;172;90;143;0;-123
Oilcrops_R;159;279;18;17;4911;194
Vegetable Oils_R;1374;11;281;0;3;46
Vegetables_R;11187;884;0;8;0;0
Fruits_R ;8100;0;4;0;6617;63
Meat_R;4696;0;0;0;11;0
Cereals_S ;8289;11646;85;593;791;-241
Starchy Roots_S;2047;172;90;143;0;-123
Oilcrops_S;159;279;18;17;4911;194
Vegetable Oils_S;1374;11;281;0;3;46
Vegetables_S;11187;884;0;8;0;0
Fruits_S ;8100;0;4;0;6617;63
Meat_S;4696;0;0;0;11;0
Cereals_T ;8289;11646;85;593;791;-241
Starchy Roots_T;2047;172;90;143;0;-123
Oilcrops_T;159;279;18;17;4911;194
Vegetable Oils_T;1374;11;281;0;3;46
Vegetables_T;11187;884;0;8;0;0
Fruits_T ;8100;0;4;0;6617;63
Meat_T;4696;0;0;0;11;0
Cereals_U ;8289;11646;85;593;791;-241
Starchy Roots_U;2047;172;90;143;0;-123
Oilcrops_U;159;279;18;17;4911;194
Vegetable Oils_U;1374;11;281;0;3;46
Vegetables_U;11187;884;0;8;0;0
Fruits_U ;8100;0;4;0;6617;63
Meat_U;4696;0;0;0;11;0
Cereals_V;8289;11646;85;593;791;-241
Starchy Roots_V;2047;172;90;143;0;-123
Oilcrops_V;159;279;18;17;4911;194
Vegetable Oils_V;1374;11;281;0;3;46
Vegetables_V;11187;884;0;8;0;0
Fruits_V ;8100;0;4;0;6617;63
Meat_V;4696;0;0;0;11;0
Tot col;637376;230128;10960;12960;207792;-2088
