;Food;Feed;Losses;Seed;Industrial ;stocks;Total Obs;Total2
Starchy Roots_G;2274;191;129;150;0;-175;2919;2975
Oilcrops_G;177;310;26;24;5169;277;5429;5451
Vegetable Oils_G;1527;12;402;0;4;65;1880;1882
Vegetables_G;12430;930;0;12;0;0;13372;13411
Fruits_G ;9000;0;6;0;6965;90;15881;15874
Meat_G;5218;0;0;0;16;0;5234;5238
Cereals_H ;9210;12940;122;624;833;-344;24073;24150
Starchy Roots_H;2274;191;129;150;0;-175;2919;2975
Oilcrops_H;177;310;26;24;5169;277;5429;5451
Vegetable Oils_H;1527;12;402;0;4;65;1880;1882
Vegetables_H;12430;930;0;12;0;0;13372;13411
Fruits_H ;9000;0;6;0;6965;90;15881;15874
Meat_H;5218;0;0;0;16;0;5234;5238
Cereals_I ;9210;12940;122;624;833;-344;24073;24150
Starchy Roots_I;2274;191;129;150;0;-175;2919;2975
Oilcrops_I;177;310;26;24;5169;277;5429;5451
Vegetable Oils_I;1527;12;402;0;4;65;1880;1882
Vegetables_I;12430;930;0;12;0;0;13372;13411
Fruits_I ;9000;0;6;0;6965;90;15881;15874
Meat_I;5218;0;0;0;16;0;5234;5238
Cereals_L ;9210;12940;122;624;833;-344;24073;24150
Starchy Roots_L;2274;191;129;150;0;-175;2919;2975
Oilcrops_L;177;310;26;24;5169;277;5429;5451
Vegetable Oils_L;1527;12;402;0;4;65;1880;1882
Vegetables_L;12430;930;0;12;0;0;13372;13411
Fruits_L ;9000;0;6;0;6965;90;15881;15874
Meat_L;5218;0;0;0;16;0;5234;5238
Cereals_M ;9210;12940;122;624;833;-344;24073;24150
Starchy Roots_M;2274;191;129;150;0;-175;2919;2975
Oilcrops_M;177;310;26;24;5169;277;5429;5451
Vegetable Oils_M;1527;12;402;0;4;65;1880;1882
Vegetables_M;12430;930;0;12;0;0;13372;13411
Fruits_M ;9000;0;6;0;6965;90;15881;15874
Meat_M;5218;0;0;0;16;0;5234;5238
Cereals_N ;9210;12940;122;624;833;-344;24073;24150
Starchy Roots_N;2274;191;129;150;0;-175;2919;2975
Oilcrops_N;177;310;26;24;5169;277;5429;5451
Vegetable Oils_N;1527;12;402;0;4;65;1880;1882
Vegetables_N;12430;930;0;12;0;0;13372;13411
Fruits_N ;9000;0;6;0;6965;90;15881;15874
Meat_N;5218;0;0;0;16;0;5234;5238
Cereals_O ;9210;12940;122;624;833;-344;24073;24150
Starchy Roots_O;2274;191;129;150;0;-175;2919;2975
Oilcrops_O;177;310;26;24;5169;277;5429;5451
Vegetable Oils_O;1527;12;402;0;4;65;1880;1882
Vegetables_O;12430;930;0;12;0;0;13372;13411
Fruits_O ;9000;0;6;0;6965;90;15881;15874
Meat_O;5218;0;0;0;16;0;5234;5238
Cereals_P ;9210;12940;122;624;833;-344;24073;24150
Starchy Roots_P;2274;191;129;150;0;-175;2919;2975
Oilcrops_P;177;310;26;24;5169;277;5429;5451
Vegetable Oils_P;1527;12;402;0;4;65;1880;1882
Vegetables_P;12430;930;0;12;0;0;13372;13411
Fruits_P ;9000;0;6;0;6965;90;15881;15874
Meat_P;5218;0;0;0;16;0;5234;5238
Cereals_Q ;9210;12940;122;624;833;-344;24073;24150
Starchy Roots_Q;2274;191;129;150;0;-175;2919;2975
Oilcrops_Q;177;310;26;24;5169;277;5429;5451
Vegetable Oils_Q;1527;12;402;0;4;65;1880;1882
Vegetables_Q;12430;930;0;12;0;0;13372;13411
Fruits_Q ;9000;0;6;0;6965;90;15881;15874
Meat_Q;5218;0;0;0;16;0;5234;5238
Cereals_R ;9210;12940;122;624;833;-344;24073;24150
Starchy Roots_R;2274;191;129;150;0;-175;2919;2975
Oilcrops_R;177;310;26;24;5169;277;5429;5451
Vegetable Oils_R;1527;12;402;0;4;65;1880;1882
Vegetables_R;12430;930;0;12;0;0;13372;13411
Fruits_R ;9000;0;6;0;6965;90;15881;15874
Meat_R;5218;0;0;0;16;0;5234;5238
Cereals_S ;9210;12940;122;624;833;-344;24073;24150
Starchy Roots_S;2274;191;129;150;0;-175;2919;2975
Oilcrops_S;177;310;26;24;5169;277;5429;5451
Vegetable Oils_S;1527;12;402;0;4;65;1880;1882
Vegetables_S;12430;930;0;12;0;0;13372;13411
Fruits_S ;9000;0;6;0;6965;90;15881;15874
Meat_S;5218;0;0;0;16;0;5234;5238
Cereals_T ;9210;12940;122;624;833;-344;24073;24150
Starchy Roots_T;2274;191;129;150;0;-175;2919;2975
Oilcrops_T;177;310;26;24;5169;277;5429;5451
Vegetable Oils_T;1527;12;402;0;4;65;1880;1882
Vegetables_T;12430;930;0;12;0;0;13372;13411
Fruits_T ;9000;0;6;0;6965;90;15881;15874
Meat_T;5218;0;0;0;16;0;5234;5238
Cereals_U ;9210;12940;122;624;833;-344;24073;24150
Starchy Roots_U;2274;191;129;150;0;-175;2919;2975
Oilcrops_U;177;310;26;24;5169;277;5429;5451
Vegetable Oils_U;1527;12;402;0;4;65;1880;1882
Vegetables_U;12430;930;0;12;0;0;13372;13411
Fruits_U ;9000;0;6;0;6965;90;15881;15874
Meat_U;5218;0;0;0;16;0;5234;5238
Cereals_V;9210;12940;122;624;833;-344;24073;24150
Starchy Roots_V;2274;191;129;150;0;-175;2919;2975
Oilcrops_V;177;310;26;24;5169;277;5429;5451
Vegetable Oils_V;1527;12;402;0;4;65;1880;1882
Vegetables_V;12430;930;0;12;0;0;13372;13411
Fruits_V ;9000;0;6;0;6965;90;15881;15874
Meat_V;5218;0;0;0;16;0;5234;5238
Tot col;796720;287660;13700;16200;259740;-1740;1375760;1379620
